Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
74ab949d-17ac-3309-83a0-13b4405c66aa,Fitchburg Outpatient Clinic,881 Main Street,Fitchburg,MA,01420,42.586487,-71.80521,978-342-9781 Or 978-342-9781,0.0,334
4112b8b1-59df-3255-a7ca-f42ee0a4cb2e,CAPE HERITAGE REHABILITATION & HEALTH CARE CENTER,37 ROUTE 6A,SANDWICH,MA,025631801,41.766329400000004,-70.5147600346998,5088888222,0.0,2
e09d4c49-c2ef-3b0f-9a46-3719d9219306,UMASS MEMORIAL HEALTHALLIANCE CLINTON HOSPITAL INC,60 HOSPITAL RD,LEOMINSTER,MA,014533290,42.54031915,-71.76312990486304,9784662000,0.0,14
6fafb5d4-ecca-37ab-8d24-53036a8cbf1e,GUARDIAN HOME HEALTH CARE  LLC,320 WEST CENTER STREET  2ND FLOOR,WEST BRIDGEWATER,MA,02379,42.016080599999995,-71.02601589317304,5085885811,0.0,2
aa682136-a4df-3942-9f50-e6fcee6c0b73,SOUTHWOOD AT NORWELL NURSING CTR,501 CORDWAINER DRIVE,NORWELL,MA,020611630,42.1647071,-70.88149077838713,7819827450,0.0,23
5becf220-2978-3f33-bd38-9326947f85de,JEFFREY & SUSAN BRUDNICK CENTER FOR LIVING,240 LYNNFIELD STREET,PEABODY,MA,019605055,42.5141736,-70.97106354209534,7815985310,0.0,11
a418cf76-2ee3-3736-a752-29ee33e86015,COMMUNITY NURSE HOME CARE  INC.,62 CENTER STREET,FAIRHAVEN,MA,027193823,41.63663425,-70.90101829397507,5089926278,0.0,1
ab701a70-a658-340e-8f69-ee196a7d40c6,CAREWELL URGENT CARE CENTERS OF MA  PC,484 RTE 134,WORCESTER,MA,016071728,42.2625621,-71.8018877,5086947901,0.0,1
71472d9b-aa5c-3b49-a5c3-d0eee8859015,BOURNE FAMILY MEDICINE PC,118 WATERHOUSE RD STE C,BOURNE,MA,025328305,41.7281115,-70.5861571324252,5087430899,0.0,135
88e28a1c-aad9-36d0-832b-b579ecb95c3d,LEOMINSTER COMUNITY HEALTH CENTER,14 MANNING AVENUE,LEOMINSTER,MA,014535768,42.5253035,-71.7584413,9788470110,0.0,18
52ecddd8-42f6-35cc-88a5-cf474c02fb49,LIFE CARE CENTER OF PLYMOUTH,94 OBERY STREET,PLYMOUTH,MA,023602130,41.93725,-70.65503160208334,5087479800,0.0,5
59d1f454-5701-3f71-8fe7-94f785e15062,57 OLD ROAD TO NINE ACRE CORNER OPERATING COMPANY  LLC,57 OLD ROAD TO 9 ACRE CORNER,WEST CONCORD,MA,017423317,42.4566859,-71.3942316,9783713400,0.0,3
1311c44a-85cb-3aea-a143-e5d7892ced8b,GROVE HILL MEDICAL CENTER PC,300 KENSINGTON AVE,SPRINGFIELD,MA,011071139,42.091896,-72.559437,8602246201,0.0,154
5fab4eec-522e-334a-a3e0-41605e009495,BENTLEY CASA DE RAMANA LLC,485 FRANKLIN ST,FRAMINGHAM,MA,017026215,42.2901292,-71.42823088074331,5088728801,0.0,3
4bf8af75-4da2-331d-b94e-9975a887face,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT ST,NANTUCKET,MA,025542799,41.27514065,-70.10108985970798,5088258100,0.0,49
5fcff9db-16e4-3e56-aa78-abbc16338097,THE LOWELL GENERAL HOSPITAL,295 VARNUM AVE,WESTFORD,MA,018863513,42.5792583,-71.4378411,9789376000,0.0,248
8fed5af6-8e61-33f5-9835-e5d3ac5fdd4a,THE NORTHEAST HEALTH GROUP  INC,11 SAINT ANTHONY ST,CHICOPEE,MA,010132141,42.1813162,-72.61495050899758,4135362540,0.0,2
84abfbd5-41c1-3df4-9b31-7ca93cb2309a,SKIN WELLNESS PHYSICIANS LLC,85 HERRICK ST,BEVERLY,MA,019151790,42.56415055,-70.8751357650672,9785247933,0.0,176
fa61a21b-27de-3ba7-bc4a-0d7145bf72a6,STANDARDS CARE STAFFING  INC,100 CUMMINGS CTR,BEVERLY,MA,019156126,42.559237100000004,-70.88594445364896,9789220088,0.0,15
